Account Creation Date,Account Creation Method,Account Age (Days),Profile Picture,Profile Information Complete,Name Consistency,Login Frequency (per week),Login Time Pattern,IP Address Variability,Followers Count,Following Count,Engagement Rate (likes/comments),Post Frequency (per week),Content Type,Email Validation,Phone Number Validation,Reported by Users,Flags by Content Moderation,Geolocation Consistency,Suspicious Device Use,Final Result
4/20/2024,Email,5,Yes,No,Consistent,1,Irregular,High,2200,721,Low engagement (rare likes),7,Text-only,Valid,Invalid,No,No,Inconsistent,Yes,Genuine
5/25/2024,Social Media Login,19,No,Yes,Consistent,1,Irregular,High,3285,430,Moderate engagement,18,Image/Video,Invalid,Valid,Yes,No,Inconsistent,Yes,Genuine
9/25/2024,Social Media Login,15,Yes,Yes,Inconsistent,7,Irregular,Low,1351,1188,Very low engagement,17,Image/Video,Valid,Valid,No,Yes,Consistent,No,Fake
4/14/2024,Phone Number,13,No,No,Consistent,2,Regular,High,3624,1926,Moderate engagement,14,Text-only,Valid,Valid,No,No,Inconsistent,Yes,Genuine
6/17/2024,Social Media Login,22,Yes,Yes,Consistent,5,Irregular,Low,1111,1914,Moderate engagement,17,Image/Video,Invalid,Invalid,Yes,No,Consistent,No,Genuine
6/17/2024,Email,29,Yes,Yes,Inconsistent,10,Regular,Medium,1244,1476,Low engagement (rare likes),14,Mixed (Image/Text),Invalid,Invalid,Yes,Yes,Consistent,No,Genuine
7/11/2024,Social Media Login,6,No,No,Inconsistent,4,Irregular,Low,2853,1075,Low engagement (rare likes),3,Text-only,Invalid,Invalid,Yes,Yes,Consistent,No,Fake
4/7/2024,Email,26,No,Yes,Consistent,4,Irregular,Medium,836,1932,Low engagement (rare likes),4,Mixed (Image/Text),Invalid,Valid,No,Yes,Inconsistent,Yes,Genuine
2/4/2024,Phone Number,24,No,No,Consistent,8,Regular,Medium,184,1235,Low engagement (rare likes),7,Image/Video,Invalid,Invalid,No,Yes,Inconsistent,No,Genuine
6/3/2024,Phone Number,27,No,No,Inconsistent,3,Regular,Low,1353,1995,Moderate engagement,6,Text-only,Valid,Valid,No,No,Consistent,No,Fake
4/27/2024,Phone Number,14,Yes,Yes,Consistent,10,Regular,Medium,3081,1158,Low engagement (rare likes),13,Mixed (Image/Text),Valid,Invalid,Yes,No,Consistent,No,Fake
4/7/2024,Social Media Login,25,Yes,No,Inconsistent,2,Irregular,Medium,3497,459,Moderate engagement,17,Text-only,Valid,Valid,No,No,Inconsistent,Yes,Genuine
5/4/2024,Social Media Login,28,Yes,Yes,Inconsistent,2,Regular,Medium,273,542,Moderate engagement,9,Image/Video,Invalid,Valid,Yes,Yes,Inconsistent,Yes,Genuine
8/4/2024,Email,23,Yes,Yes,Inconsistent,5,Irregular,High,3991,1204,High engagement (likes/comments),13,Mixed (Image/Text),Invalid,Invalid,Yes,Yes,Inconsistent,Yes,Fake
8/8/2024,Social Media Login,13,No,No,Consistent,9,Regular,High,1471,563,Very low engagement,20,Mixed (Image/Text),Invalid,Valid,Yes,Yes,Consistent,Yes,Fake
10/31/2024,Phone Number,27,No,Yes,Inconsistent,7,Irregular,Low,2557,1794,Low engagement (rare likes),3,Mixed (Image/Text),Valid,Valid,No,Yes,Inconsistent,No,Fake
6/13/2024,Email,16,Yes,Yes,Inconsistent,1,Irregular,Low,72,1202,Very low engagement,18,Text-only,Valid,Invalid,No,No,Consistent,Yes,Genuine
4/14/2024,Social Media Login,28,Yes,No,Inconsistent,7,Regular,High,2778,62,Moderate engagement,15,Mixed (Image/Text),Valid,Valid,No,No,Consistent,No,Genuine
5/27/2024,Phone Number,10,Yes,No,Consistent,6,Regular,Medium,4258,647,Moderate engagement,3,Image/Video,Invalid,Invalid,Yes,No,Inconsistent,Yes,Genuine
6/7/2024,Email,10,No,Yes,Consistent,3,Irregular,High,3133,1982,High engagement (likes/comments),12,Mixed (Image/Text),Valid,Invalid,Yes,No,Inconsistent,Yes,Fake
4/21/2024,Phone Number,4,No,Yes,Inconsistent,8,Irregular,Low,882,1121,Very low engagement,5,Text-only,Valid,Valid,No,No,Consistent,Yes,Genuine
1/9/2024,Email,5,Yes,Yes,Consistent,10,Regular,High,4566,56,Low engagement (rare likes),10,Text-only,Valid,Valid,No,Yes,Inconsistent,No,Genuine
1/15/2024,Phone Number,26,No,Yes,Inconsistent,6,Regular,Low,1745,557,Low engagement (rare likes),13,Text-only,Valid,Invalid,No,Yes,Inconsistent,Yes,Fake
5/2/2024,Email,2,Yes,No,Inconsistent,1,Irregular,Medium,319,1120,Moderate engagement,6,Text-only,Valid,Invalid,No,No,Inconsistent,No,Genuine
3/21/2024,Social Media Login,23,Yes,Yes,Consistent,2,Irregular,Low,2397,1440,Moderate engagement,15,Mixed (Image/Text),Valid,Invalid,Yes,Yes,Inconsistent,Yes,Fake
